PrincipleKey,MilestoneDate,MilestoneKey,MilestoneStatus,MilestoneRAG,Weight,PrincipleName
7,2016-12-01,241,Completed,Amber,5,Accuracy
4,2017-03-14,242,Completed,Red,0.3,Completeness
1,2017-08-30,243,Active,Amber,0.5,Governance
2,2018-05-01,244,Active,Amber,2.7,Data architecture and IT infrastructure
5,2018-06-29,245,Active,Green,0.1,Timeliness
7,2016-03-04,246,Completed,Red,0.1,Accuracy
6,2017-04-15,247,Completed,Green,0.5,Adaptability
2,2016-12-03,248,Completed,Red,0.9,Data architecture and IT infrastructure
2,2018-04-11,249,Active,Amber,5,Data architecture and IT infrastructure
2,2018-11-14,250,Active,Green,0.5,Data architecture and IT infrastructure
2,2018-10-27,251,Active,Amber,0.3,Data architecture and IT infrastructure
6,2017-06-29,252,Active,Red,5,Adaptability
7,2016-11-15,253,Completed,Green,5,Accuracy
1,2017-09-06,254,Active,Green,5,Governance
2,2018-04-05,255,Active,Green,0.5,Data architecture and IT infrastructure
9,2016-07-22,256,Completed,Amber,2.7,Clarity and usefulness
7,2017-10-27,257,Active,Amber,5,Accuracy
1,2018-04-08,258,Active,Green,0.1,Governance
6,2017-05-13,259,Completed,Green,0.5,Adaptability
4,2016-12-12,260,Completed,Red,0.9,Completeness
2,2017-12-21,261,Active,Amber,0.5,Data architecture and IT infrastructure
5,2018-03-12,262,Active,Red,0.1,Timeliness
2,2018-09-30,263,Active,Green,0.1,Data architecture and IT infrastructure
7,2018-03-27,264,Active,Green,0.3,Accuracy
7,2016-07-17,265,Completed,Green,0.1,Accuracy
1,2018-12-25,266,Active,Green,0.1,Governance
2,2017-11-10,267,Active,Red,5,Data architecture and IT infrastructure
1,2017-02-24,268,Completed,Amber,0.5,Governance
1,2018-03-28,269,Active,Red,0.3,Governance
1,2018-01-16,270,Active,Red,2.7,Governance
2,2018-08-18,271,Active,Amber,0.5,Data architecture and IT infrastructure
6,2018-12-29,272,Active,Green,0.5,Adaptability
7,2018-03-14,273,Active,Amber,2.7,Accuracy
1,2017-05-07,274,Overdue,Red,2.7,Governance
2,2017-06-07,275,Overdue,Red,2.7,Data architecture and IT infrastructure
1,2018-02-06,276,Active,Amber,0.1,Governance
9,2016-08-25,277,Completed,Red,5,Clarity and usefulness
2,2016-06-23,278,Completed,Amber,0.5,Data architecture and IT infrastructure
7,2017-08-04,279,Active,Red,5,Accuracy
5,2018-12-10,280,Active,Green,0.3,Timeliness
2,2018-04-27,281,Active,Green,2.7,Data architecture and IT infrastructure
1,2016-06-02,282,Completed,Amber,2.7,Governance
2,2017-06-13,283,Active,Red,0.9,Data architecture and IT infrastructure
6,2018-03-18,284,Active,Amber,0.5,Adaptability
7,2016-02-02,285,Completed,Amber,5,Accuracy
2,2016-11-27,286,Completed,Red,0.5,Data architecture and IT infrastructure
5,2017-11-09,287,Active,Amber,0.9,Timeliness
8,2016-06-15,288,Completed,Amber,2.7,Comprehensiveness
3,2016-11-23,289,Completed,Red,0.3,Accuracy and integrity
7,2018-10-11,290,Active,Red,5,Accuracy
4,2016-10-21,291,Completed,Green,2.7,Completeness
10,2016-07-18,292,Completed,Red,0.5,Frequency
8,2018-12-24,293,Active,Amber,5,Comprehensiveness
1,2017-11-25,294,Active,Green,2.7,Governance
2,2017-09-10,295,Completed,Red,0.3,Data architecture and IT infrastructure
3,2018-04-25,296,Active,Amber,0.3,Accuracy and integrity
6,2016-07-03,297,Completed,Green,0.5,Adaptability
2,2018-04-15,298,Active,Green,5,Data architecture and IT infrastructure
1,2016-01-03,299,Completed,Green,2.7,Governance
6,2016-09-14,300,Completed,Green,0.9,Adaptability
2,2016-02-04,301,Completed,Amber,5,Data architecture and IT infrastructure
7,2016-08-18,302,Completed,Green,5,Accuracy
2,2018-01-06,303,Active,Amber,0.5,Data architecture and IT infrastructure
2,2017-07-29,304,Completed,Red,0.3,Data architecture and IT infrastructure
1,2018-06-18,305,Active,Green,0.9,Governance
7,2018-05-25,306,Active,Amber,0.3,Accuracy
6,2018-07-24,307,Active,Amber,0.3,Adaptability
4,2018-03-08,308,Active,Amber,0.9,Completeness
9,2018-02-16,309,Active,Red,0.3,Clarity and usefulness
9,2018-08-24,310,Active,Amber,0.9,Clarity and usefulness
2,2016-12-16,311,Completed,Green,0.9,Data architecture and IT infrastructure
2,2018-07-09,312,Active,Amber,5,Data architecture and IT infrastructure
4,2016-02-21,313,Completed,Red,0.1,Completeness
1,2016-07-25,314,Completed,Green,2.7,Governance
8,2018-05-30,315,Active,Amber,5,Comprehensiveness
5,2017-12-27,316,Active,Amber,5,Timeliness
7,2018-08-20,317,Active,Red,0.3,Accuracy
7,2017-05-10,318,Completed,Green,0.1,Accuracy
1,2017-12-01,319,Completed,Amber,2.7,Governance
3,2018-07-28,320,Active,Green,2.7,Accuracy and integrity
1,2018-04-16,321,Active,Red,0.5,Governance
7,2016-06-03,322,Completed,Red,0.5,Accuracy
9,2017-06-29,323,Completed,Green,0.5,Clarity and usefulness
1,2017-06-21,324,Active,Green,0.5,Governance
1,2018-12-24,325,Active,Amber,0.9,Governance
6,2016-06-01,326,Completed,Red,0.9,Adaptability
9,2016-07-03,327,Completed,Red,0.3,Clarity and usefulness
6,2016-01-23,328,Completed,Green,0.9,Adaptability
2,2018-12-07,329,Active,Amber,0.9,Data architecture and IT infrastructure
8,2016-07-23,330,Completed,Red,5,Comprehensiveness
1,2016-10-15,331,Completed,Red,0.1,Governance
7,2018-05-28,332,Active,Amber,0.5,Accuracy
1,2018-01-06,333,Active,Red,0.1,Governance
3,2018-03-23,334,Active,Green,0.1,Accuracy and integrity
7,2016-07-12,335,Completed,Red,0.1,Accuracy
10,2016-11-19,336,Completed,Red,0.5,Frequency
1,2018-04-03,337,Active,Green,0.5,Governance
6,2018-07-22,338,Active,Red,2.7,Adaptability
2,2016-04-11,339,Completed,Amber,5,Data architecture and IT infrastructure
2,2017-09-30,340,Active,Red,0.5,Data architecture and IT infrastructure
9,2017-03-30,341,Completed,Amber,5,Clarity and usefulness
10,2018-07-24,342,Active,Amber,0.1,Frequency
2,2016-07-17,343,Completed,Amber,5,Data architecture and IT infrastructure
1,2018-01-07,344,Active,Amber,2.7,Governance
7,2017-04-28,345,Overdue,Green,0.9,Accuracy
10,2017-05-01,346,Completed,Amber,0.5,Frequency
7,2018-05-25,347,Active,Amber,0.3,Accuracy
1,2017-09-30,348,Active,Green,0.1,Governance
1,2018-07-18,349,Active,Amber,5,Governance
8,2017-09-16,350,Active,Red,5,Comprehensiveness
2,2018-08-15,351,Active,Green,0.5,Data architecture and IT infrastructure
2,2018-01-30,352,Active,Green,0.3,Data architecture and IT infrastructure
1,2016-10-15,353,Completed,Green,0.9,Governance
2,2018-04-03,354,Active,Amber,0.9,Data architecture and IT infrastructure
1,2017-05-27,355,Overdue,Green,2.7,Governance
6,2017-10-17,356,Active,Red,0.9,Adaptability
8,2017-08-11,357,Active,Green,5,Comprehensiveness
2,2016-05-18,358,Completed,Green,0.5,Data architecture and IT infrastructure
11,2018-03-26,359,Active,Amber,0.3,Distribution
7,2018-02-06,360,Active,Red,5,Accuracy
5,2018-07-20,361,Active,Red,5,Timeliness
2,2016-10-28,362,Overdue,Red,0.1,Data architecture and IT infrastructure
2,2016-12-19,363,Completed,Green,0.5,Data architecture and IT infrastructure
6,2018-07-20,364,Active,Red,0.3,Adaptability
1,2018-08-09,365,Active,Amber,0.5,Governance
8,2017-09-01,366,Active,Green,0.1,Comprehensiveness
2,2017-10-05,367,Active,Green,2.7,Data architecture and IT infrastructure
2,2016-01-09,368,Completed,Red,2.7,Data architecture and IT infrastructure
1,2016-07-18,369,Completed,Amber,0.1,Governance
1,2017-08-26,370,Active,Red,5,Governance
6,2016-06-04,371,Completed,Green,2.7,Adaptability
5,2017-05-09,372,Completed,Amber,5,Timeliness
7,2016-11-29,373,Completed,Amber,5,Accuracy
7,2017-09-20,374,Completed,Red,0.1,Accuracy
6,2018-12-20,375,Active,Amber,0.9,Adaptability
10,2018-01-05,376,Active,Green,0.5,Frequency
7,2016-09-20,377,Completed,Green,0.9,Accuracy
5,2017-01-20,378,Overdue,Green,5,Timeliness
1,2017-09-11,379,Active,Green,0.5,Governance
6,2017-08-15,380,Active,Red,2.7,Adaptability
2,2017-08-07,381,Active,Red,0.9,Data architecture and IT infrastructure
8,2016-05-05,382,Completed,Green,5,Comprehensiveness
7,2018-08-21,383,Active,Green,0.1,Accuracy
1,2018-01-17,384,Active,Amber,0.3,Governance
4,2016-10-15,385,Completed,Green,0.5,Completeness
6,2018-07-25,386,Active,Green,5,Adaptability
1,2017-04-20,387,Completed,Red,0.9,Governance
1,2018-07-16,388,Active,Amber,0.1,Governance
3,2018-03-02,389,Active,Red,0.9,Accuracy and integrity
8,2017-07-18,390,Active,Amber,5,Comprehensiveness
1,2017-10-31,391,Active,Green,2.7,Governance
2,2018-09-18,392,Active,Green,5,Data architecture and IT infrastructure
1,2017-10-27,393,Completed,Green,2.7,Governance
6,2017-02-05,394,Overdue,Amber,0.9,Adaptability
2,2016-04-18,395,Completed,Amber,0.5,Data architecture and IT infrastructure
10,2018-12-16,396,Active,Red,0.3,Frequency
1,2017-09-01,397,Completed,Red,2.7,Governance
1,2017-12-23,398,Active,Green,5,Governance
7,2018-04-30,399,Active,Amber,0.5,Accuracy
2,2018-11-07,400,Active,Amber,0.3,Data architecture and IT infrastructure
6,2016-11-07,401,Completed,Amber,0.9,Adaptability
3,2018-12-18,402,Active,Red,5,Accuracy and integrity
10,2016-03-31,403,Completed,Green,0.3,Frequency
2,2018-09-25,404,Active,Red,0.9,Data architecture and IT infrastructure
5,2016-01-27,405,Completed,Red,5,Timeliness
9,2016-08-22,406,Completed,Red,0.9,Clarity and usefulness
1,2016-06-10,407,Completed,Green,0.5,Governance
7,2017-06-17,408,Completed,Amber,0.5,Accuracy
1,2016-06-03,409,Completed,Amber,0.5,Governance
7,2016-02-05,410,Completed,Red,0.9,Accuracy
2,2017-09-19,411,Active,Red,0.9,Data architecture and IT infrastructure
6,2017-08-06,412,Completed,Green,0.3,Adaptability
1,2017-05-18,413,Overdue,Amber,0.3,Governance
1,2018-10-29,414,Active,Green,5,Governance
2,2017-12-16,415,Active,Green,0.3,Data architecture and IT infrastructure
1,2016-11-20,416,Completed,Amber,0.1,Governance
2,2016-10-28,417,Completed,Green,0.3,Data architecture and IT infrastructure
7,2017-06-04,418,Overdue,Green,5,Accuracy
1,2016-11-03,419,Completed,Amber,0.1,Governance
2,2016-12-08,420,Completed,Red,0.9,Data architecture and IT infrastructure
2,2018-07-04,421,Active,Amber,0.5,Data architecture and IT infrastructure
6,2016-04-24,422,Completed,Amber,2.7,Adaptability
6,2016-11-05,423,Completed,Green,0.3,Adaptability
2,2017-07-20,424,Completed,Amber,0.1,Data architecture and IT infrastructure
8,2018-12-12,425,Active,Amber,0.9,Comprehensiveness
10,2017-02-06,426,Completed,Green,0.3,Frequency
4,2016-04-22,427,Completed,Amber,0.5,Completeness
1,2016-11-23,428,Completed,Red,5,Governance
2,2016-08-22,429,Completed,Red,2.7,Data architecture and IT infrastructure
5,2018-12-28,430,Active,Green,0.3,Timeliness
11,2018-09-16,431,Active,Green,2.7,Distribution
6,2018-06-24,432,Active,Red,2.7,Adaptability
5,2018-06-02,433,Active,Green,0.1,Timeliness
6,2016-07-18,434,Completed,Amber,0.9,Adaptability
5,2017-08-31,435,Active,Amber,0.9,Timeliness
2,2017-01-13,436,Completed,Amber,0.5,Data architecture and IT infrastructure
11,2018-11-10,437,Active,Red,0.5,Distribution
3,2018-10-30,438,Active,Green,5,Accuracy and integrity
5,2017-05-12,439,Overdue,Amber,0.9,Timeliness
8,2016-02-28,440,Completed,Amber,0.5,Comprehensiveness
1,2016-11-23,441,Completed,Red,5,Governance
8,2017-09-23,442,Active,Amber,0.5,Comprehensiveness
1,2018-03-01,443,Active,Amber,0.3,Governance
1,2018-08-01,444,Active,Green,0.9,Governance
2,2017-08-21,445,Completed,Green,2.7,Data architecture and IT infrastructure
8,2017-07-13,446,Active,Red,2.7,Comprehensiveness
2,2016-11-27,447,Completed,Green,0.5,Data architecture and IT infrastructure
11,2017-01-15,448,Completed,Red,2.7,Distribution
1,2016-07-12,449,Completed,Amber,5,Governance
1,2016-12-15,450,Completed,Green,0.1,Governance
1,2016-05-14,451,Completed,Amber,5,Governance
6,2016-02-16,452,Completed,Amber,0.5,Adaptability
3,2017-12-15,453,Active,Amber,2.7,Accuracy and integrity
7,2018-12-23,454,Active,Green,0.9,Accuracy
6,2017-07-19,455,Active,Red,0.9,Adaptability
3,2018-12-14,456,Active,Amber,0.5,Accuracy and integrity
1,2016-06-20,457,Completed,Green,2.7,Governance
1,2016-05-12,458,Completed,Red,0.1,Governance
4,2018-08-18,459,Active,Green,0.3,Completeness
2,2016-01-21,460,Completed,Red,0.9,Data architecture and IT infrastructure
7,2018-09-24,461,Active,Green,0.3,Accuracy
1,2017-05-07,462,Overdue,Green,5,Governance
2,2017-01-03,463,Overdue,Green,0.9,Data architecture and IT infrastructure
9,2018-08-02,464,Active,Red,0.3,Clarity and usefulness
1,2016-12-19,465,Completed,Amber,0.5,Governance
9,2018-04-01,466,Active,Amber,0.9,Clarity and usefulness
6,2017-03-03,467,Completed,Amber,2.7,Adaptability
2,2018-05-04,468,Active,Green,2.7,Data architecture and IT infrastructure
8,2018-07-17,469,Active,Amber,0.3,Comprehensiveness
2,2017-02-10,470,Completed,Red,2.7,Data architecture and IT infrastructure
1,2018-10-06,471,Active,Amber,0.3,Governance
7,2017-12-18,472,Active,Red,5,Accuracy
6,2017-03-20,473,Completed,Green,2.7,Adaptability
8,2018-11-13,474,Active,Amber,5,Comprehensiveness
